participant_id,platform_id,platform_label,eligible_platform,checklist_id,execution_mode,status,actual_result,evidence_id,evidence_path,captured_at
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-WEB-LOGIN-012,LIVE_LOCAL_SUT,Pass,"viewport=320, document scrollWidth=320, form right=271.0.",T3-ANDROID-CHROME-EMULATION-008,evidence/android-chrome-emulation/008-web-login-responsive-320.png,2026-08-02T13:01:23.610Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-WEB-LOGIN-013,LIVE_LOCAL_SUT,Fail,Whitespace remained significant; login failed with 'Đăng nhập thất bại. Vui lòng kiểm tra lại.'.,T3-ANDROID-CHROME-EMULATION-009,evidence/android-chrome-emulation/009-web-login-trim.png,2026-08-02T13:01:26.112Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-WEB-REGISTER-001,LIVE_LOCAL_SUT,Pass,Heading is 'Đăng Ký Tài Khoản'.,T3-ANDROID-CHROME-EMULATION-010,evidence/android-chrome-emulation/010-web-register-baseline.png,2026-08-02T13:01:27.292Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-WEB-REGISTER-002,LIVE_LOCAL_SUT,Pass,Email input type is 'email'.,T3-ANDROID-CHROME-EMULATION-010,evidence/android-chrome-emulation/010-web-register-baseline.png,2026-08-02T13:01:27.292Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-WEB-REGISTER-003,LIVE_LOCAL_SUT,Pass,"Password helper text is 'Tối thiểu 8 ký tự, có chữ hoa, chữ thường, số và một ký tự trong @$!%*?&.'.",T3-ANDROID-CHROME-EMULATION-010,evidence/android-chrome-emulation/010-web-register-baseline.png,2026-08-02T13:01:27.292Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-WEB-REGISTER-008,LIVE_LOCAL_SUT,Pass,"Register button 'Đăng Ký' computed background rgb(37, 99, 235).",T3-ANDROID-CHROME-EMULATION-010,evidence/android-chrome-emulation/010-web-register-baseline.png,2026-08-02T13:01:27.292Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-WEB-REGISTER-004,LIVE_LOCAL_SUT,Pass,Password123! produced HTTP 200 and final route http://localhost:5173/login.,T3-ANDROID-CHROME-EMULATION-011,evidence/android-chrome-emulation/011-web-register-special-character.png,2026-08-02T13:01:29.330Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-WEB-REGISTER-005,LIVE_LOCAL_SUT,Pass,"Weak-password feedback shown: 'Mật khẩu phải có tối thiểu 8 ký tự, gồm chữ hoa, chữ thường, số và một ký tự đặc biệt trong @$!%*?&.'.",T3-ANDROID-CHROME-EMULATION-012,evidence/android-chrome-emulation/012-web-register-weak-feedback.png,2026-08-02T13:01:31.208Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-WEB-REGISTER-006,LIVE_LOCAL_SUT,Fail,Second registration for the same email returned HTTP 200 and navigated as success.,T3-ANDROID-CHROME-EMULATION-013,evidence/android-chrome-emulation/013-web-register-duplicate.png,2026-08-02T13:01:33.274Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-WEB-REGISTER-007,LIVE_LOCAL_SUT,Pass,Reached /login; SPA marker preserved.,T3-ANDROID-CHROME-EMULATION-014,evidence/android-chrome-emulation/014-web-register-login-navigation.png,2026-08-02T13:01:35.712Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-WEB-REGISTER-009,LIVE_LOCAL_SUT,Pass,Empty name validity=false; message='Please fill out this field.'.,T3-ANDROID-CHROME-EMULATION-015,evidence/android-chrome-emulation/015-web-register-required.png,2026-08-02T13:01:37.358Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-WEB-REGISTER-010,LIVE_LOCAL_SUT,Pass,Empty email validity=false; message='Please fill out this field.'.,T3-ANDROID-CHROME-EMULATION-015,evidence/android-chrome-emulation/015-web-register-required.png,2026-08-02T13:01:37.358Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-WEB-REGISTER-011,LIVE_LOCAL_SUT,Pass,Payload submitted as text; script dialog observed=false.,T3-ANDROID-CHROME-EMULATION-016,evidence/android-chrome-emulation/016-web-register-xss.png,2026-08-02T13:01:38.986Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-WEB-REGISTER-012,MOCKED_NETWORK_FAILURE,Pass,Aborted register request produced visible feedback 'Đăng ký thất bại.'.,T3-ANDROID-CHROME-EMULATION-017,evidence/android-chrome-emulation/017-web-register-network-error.png,2026-08-02T13:01:40.307Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-ADMIN-LOGIN-001,LIVE_LOCAL_SUT,Pass,Admin heading is 'Admin Login'.,T3-ANDROID-CHROME-EMULATION-018,evidence/android-chrome-emulation/018-admin-login-baseline.png,2026-08-02T13:01:42.454Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-ADMIN-LOGIN-002,LIVE_LOCAL_SUT,Fail,Admin login form contains 0 label elements for two inputs.,T3-ANDROID-CHROME-EMULATION-018,evidence/android-chrome-emulation/018-admin-login-baseline.png,2026-08-02T13:01:42.454Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-ADMIN-LOGIN-008,LIVE_LOCAL_SUT,Pass,Admin password input type is 'password'.,T3-ANDROID-CHROME-EMULATION-018,evidence/android-chrome-emulation/018-admin-login-baseline.png,2026-08-02T13:01:42.454Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-ADMIN-LOGIN-009,LIVE_LOCAL_SUT,Pass,"Without token, protected dashboard visible count=0; login form remains visible.",T3-ANDROID-CHROME-EMULATION-018,evidence/android-chrome-emulation/018-admin-login-baseline.png,2026-08-02T13:01:42.454Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-ADMIN-LOGIN-003,LIVE_LOCAL_SUT,Fail,Native browser dialog captured with 'Đăng nhập thất bại'; inline feedback count=0.,T3-ANDROID-CHROME-EMULATION-019,evidence/android-chrome-emulation/019-admin-login-invalid-dialog.png,2026-08-02T13:01:44.223Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-ADMIN-LOGIN-004,LIVE_LOCAL_SUT,Fail,Non-admin login produced native dialog 'Bạn không phải là admin!'; inline feedback count=0.,T3-ANDROID-CHROME-EMULATION-020,evidence/android-chrome-emulation/020-admin-login-nonadmin-dialog.png,2026-08-02T13:01:45.957Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-ADMIN-LOGIN-005,LIVE_LOCAL_SUT,Pass,Dashboard visible=true; admin token stored=true.,T3-ANDROID-CHROME-EMULATION-021,evidence/android-chrome-emulation/021-admin-login-success.png,2026-08-02T13:01:49.125Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-ADMIN-LOGIN-006,LIVE_LOCAL_SUT,Pass,"After reload, admin shell visible=true; token present=true.",T3-ANDROID-CHROME-EMULATION-022,evidence/android-chrome-emulation/022-admin-refresh-persistence.png,2026-08-02T13:01:51.488Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-ADMIN-LOGIN-007,LIVE_LOCAL_SUT,Pass,"After logout, login form visible=true; token present=false.",T3-ANDROID-CHROME-EMULATION-023,evidence/android-chrome-emulation/023-admin-logout.png,2026-08-02T13:01:52.797Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-ADMIN-CATEGORY-001,LIVE_LOCAL_SUT,Pass,Heading 'Quản lý Danh mục'; headers 'ID / Tên Danh Mục / Hành động'.,T3-ANDROID-CHROME-EMULATION-024,evidence/android-chrome-emulation/024-admin-category-baseline.png,2026-08-02T13:01:56.397Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-ADMIN-CATEGORY-002,LIVE_LOCAL_SUT,Pass,Input placeholder 'Tên danh mục mới'; add button 'Thêm mới'.,T3-ANDROID-CHROME-EMULATION-024,evidence/android-chrome-emulation/024-admin-category-baseline.png,2026-08-02T13:01:56.397Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-ADMIN-CATEGORY-005,LIVE_LOCAL_SUT,Fail,Edit-button count across category rows=0.,T3-ANDROID-CHROME-EMULATION-024,evidence/android-chrome-emulation/024-admin-category-baseline.png,2026-08-02T13:01:56.397Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-ADMIN-CATEGORY-003,LIVE_LOCAL_SUT,Pass,Create HTTP 200; row visible; input reset=true.,T3-ANDROID-CHROME-EMULATION-025,evidence/android-chrome-emulation/025-admin-category-add.png,2026-08-02T13:01:57.942Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-ADMIN-CATEGORY-004,MOCKED_WRITE_PREVENTION,Fail,"required attribute='null'; empty POST observed=true; payload={""name"":""""}.",T3-ANDROID-CHROME-EMULATION-026,evidence/android-chrome-emulation/026-admin-category-empty.png,2026-08-02T13:01:58.817Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-ADMIN-CATEGORY-006,LIVE_LOCAL_SUT,Fail,Delete confirmation dialog observed=false.,T3-ANDROID-CHROME-EMULATION-027,evidence/android-chrome-emulation/027-admin-category-delete.png,2026-08-02T13:02:00.304Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-ADMIN-CATEGORY-007,LIVE_LOCAL_SUT,Pass,Synthetic empty category 'TASK3_DELETE_android-chrome-emulation-1785675668273' disappeared after delete.,T3-ANDROID-CHROME-EMULATION-027,evidence/android-chrome-emulation/027-admin-category-delete.png,2026-08-02T13:02:00.304Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-ADMIN-CATEGORY-008,LIVE_LOCAL_SUT,Fail,Category referenced by synthetic product remained=false; error dialog=NONE. Backend allowed deletion=true.,T3-ANDROID-CHROME-EMULATION-028,evidence/android-chrome-emulation/028-admin-category-delete-in-use.png,2026-08-02T13:02:02.179Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-ADMIN-CATEGORY-009,MOCKED_EMPTY_API_STATE,Fail,Mocked empty category response rendered rows=0; empty-state message count=0.,T3-ANDROID-CHROME-EMULATION-029,evidence/android-chrome-emulation/029-admin-category-empty-state.png,2026-08-02T13:02:03.526Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-ADMIN-CATEGORY-010,MOCKED_SLOW_API,Fail,"During a 2.5-second category delay, loading indicator count=0.",T3-ANDROID-CHROME-EMULATION-030,evidence/android-chrome-emulation/030-admin-category-loading.png,2026-08-02T13:02:04.699Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-ADMIN-CATEGORY-011,LIVE_LOCAL_SUT,Fail,Duplicate category POST returned HTTP 200; visible duplicate row count=1.,T3-ANDROID-CHROME-EMULATION-031,evidence/android-chrome-emulation/031-admin-category-duplicate.png,2026-08-02T13:02:06.153Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-ADMIN-CATEGORY-012,LIVE_LOCAL_SUT,Pass,"260+ character row: document scrollWidth=1440, viewport=1440, white-space=normal.",T3-ANDROID-CHROME-EMULATION-032,evidence/android-chrome-emulation/032-admin-category-long-name.png,2026-08-02T13:02:07.563Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-ADMIN-CATEGORY-013,MOCKED_SLOW_WRITE,Fail,Rapid double click generated 2 POST request(s); button disabled after completion=false.,T3-ANDROID-CHROME-EMULATION-033,evidence/android-chrome-emulation/033-admin-category-double-submit.png,2026-08-02T13:02:09.357Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-MOBILE-LOGIN-001,LIVE_LOCAL_SUT,Pass,"Login heading visible=true. Runtime is Expo Web, not Expo Go.",T3-ANDROID-CHROME-EMULATION-034,evidence/android-chrome-emulation/034-mobile-login-baseline.png,2026-08-02T13:05:18.906Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-MOBILE-LOGIN-002,LIVE_LOCAL_SUT,Fail,Visible Username label=true; standalone Email label=false.,T3-ANDROID-CHROME-EMULATION-034,evidence/android-chrome-emulation/034-mobile-login-baseline.png,2026-08-02T13:05:18.906Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-MOBILE-LOGIN-003,LIVE_LOCAL_SUT,Pass,Rendered password input type is 'password'.,T3-ANDROID-CHROME-EMULATION-034,evidence/android-chrome-emulation/034-mobile-login-baseline.png,2026-08-02T13:05:18.906Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-MOBILE-LOGIN-004,LIVE_LOCAL_SUT,Fail,Rendered submit label is 'Sign In'.,T3-ANDROID-CHROME-EMULATION-034,evidence/android-chrome-emulation/034-mobile-login-baseline.png,2026-08-02T13:05:18.906Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-MOBILE-LOGIN-010,LIVE_LOCAL_SUT,Fail,"Sign In touch target bounding box={""x"":24,""y"":320,""width"":364,""height"":39} CSS px.",T3-ANDROID-CHROME-EMULATION-034,evidence/android-chrome-emulation/034-mobile-login-baseline.png,2026-08-02T13:05:18.906Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-MOBILE-LOGIN-005,LIVE_LOCAL_SUT,Pass,Invalid-login feedback visible=true.,T3-ANDROID-CHROME-EMULATION-035,evidence/android-chrome-emulation/035-mobile-login-invalid-feedback.png,2026-08-02T13:05:20.062Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-MOBILE-LOGIN-006,LIVE_LOCAL_SUT,Pass,"After Quay Lại, home login control count=1.",T3-ANDROID-CHROME-EMULATION-036,evidence/android-chrome-emulation/036-mobile-login-back.png,2026-08-02T13:05:20.700Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-MOBILE-LOGIN-007,LIVE_LOCAL_SUT,Pass,Registration heading visible after navigation=true.,T3-ANDROID-CHROME-EMULATION-037,evidence/android-chrome-emulation/037-mobile-register-navigation.png,2026-08-02T13:05:24.174Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-MOBILE-LOGIN-008,LIVE_LOCAL_SUT,Pass,Forgot-password heading visible after navigation=true.,T3-ANDROID-CHROME-EMULATION-038,evidence/android-chrome-emulation/038-mobile-forgot-navigation.png,2026-08-02T13:05:27.596Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-MOBILE-LOGIN-009,LIVE_LOCAL_SUT,Pass,"After live proxied login, header contains synthetic display name=true.",T3-ANDROID-CHROME-EMULATION-039,evidence/android-chrome-emulation/039-mobile-login-success.png,2026-08-02T13:05:31.812Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-MOBILE-LOGIN-011,EXPO_WEB_DESKTOP_BROWSER,Not Observable,"Desktop/headless Expo Web cannot display a real mobile soft keyboard. Before={""width"":412,""height"":839,""visualHeight"":839}, after={""width"":412,""height"":839,""visualHeight"":839}.",T3-ANDROID-CHROME-EMULATION-040,evidence/android-chrome-emulation/040-mobile-soft-keyboard-not-observable.png,2026-08-02T13:05:35.279Z
N/A_TECHNICAL_TEST,android-chrome-emulation,Chromium Pixel 7 emulation / Windows host,NO,GUI-WEB-LOGIN-011,LIVE_LOCAL_SUT,Fail,First eight Tab targets: BUTTON:Sign In[1] > A:EShop[auto] > A:Giỏ hàng[auto] > A:Đăng nhập[auto] > A:Đăng ký[auto] > INPUT:text[auto] > INPUT:text[auto] > A:Quên mật khẩu?[auto]. Positive-tabindex submit precedes inputs=true.,T3-ANDROID-CHROME-EMULATION-007,evidence/android-chrome-emulation/007-web-login-keyboard-focus.png,2026-08-02T13:08:03.311Z
N/A_TECHNICAL_TEST,chrome-windows,Google Chrome / Windows,YES,GUI-WEB-LOGIN-001,LIVE_LOCAL_SUT,Fail,Heading is 'Đăng Ký'.,T3-CHROME-WINDOWS-001,evidence/chrome-windows/001-web-login-baseline.png,2026-08-02T12:53:32.819Z
N/A_TECHNICAL_TEST,chrome-windows,Google Chrome / Windows,YES,GUI-WEB-LOGIN-002,LIVE_LOCAL_SUT,Fail,"First label 'Username', input type 'text'.",T3-CHROME-WINDOWS-001,evidence/chrome-windows/001-web-login-baseline.png,2026-08-02T12:53:32.819Z
N/A_TECHNICAL_TEST,chrome-windows,Google Chrome / Windows,YES,GUI-WEB-LOGIN-003,LIVE_LOCAL_SUT,Fail,Password input type is 'text'.,T3-CHROME-WINDOWS-001,evidence/chrome-windows/001-web-login-baseline.png,2026-08-02T12:53:32.819Z
N/A_TECHNICAL_TEST,chrome-windows,Google Chrome / Windows,YES,GUI-WEB-LOGIN-009,LIVE_LOCAL_SUT,Fail,Submit button text is 'Sign In'.,T3-CHROME-WINDOWS-001,evidence/chrome-windows/001-web-login-baseline.png,2026-08-02T12:53:32.819Z
N/A_TECHNICAL_TEST,chrome-windows,Google Chrome / Windows,YES,GUI-WEB-LOGIN-004,LIVE_LOCAL_SUT,Pass,Empty email validity=false; message='Please fill out this field.'.,T3-CHROME-WINDOWS-002,evidence/chrome-windows/002-web-login-required-validation.png,2026-08-02T12:53:33.852Z
N/A_TECHNICAL_TEST,chrome-windows,Google Chrome / Windows,YES,GUI-WEB-LOGIN-005,LIVE_LOCAL_SUT,Pass,Empty password validity=false; message='Please fill out this field.'.,T3-CHROME-WINDOWS-002,evidence/chrome-windows/002-web-login-required-validation.png,2026-08-02T12:53:33.852Z
N/A_TECHNICAL_TEST,chrome-windows,Google Chrome / Windows,YES,GUI-WEB-LOGIN-006,LIVE_LOCAL_SUT,Pass,Inline red feedback shown: 'Đăng nhập thất bại. Vui lòng kiểm tra lại.'.,T3-CHROME-WINDOWS-003,evidence/chrome-windows/003-web-login-invalid-feedback.png,2026-08-02T12:53:34.794Z
N/A_TECHNICAL_TEST,chrome-windows,Google Chrome / Windows,YES,GUI-WEB-LOGIN-007,LIVE_LOCAL_SUT,Fail,Reached /forgot-password; SPA marker lost due to full document navigation.,T3-CHROME-WINDOWS-004,evidence/chrome-windows/004-web-login-forgot-navigation.png,2026-08-02T12:53:35.749Z
N/A_TECHNICAL_TEST,chrome-windows,Google Chrome / Windows,YES,GUI-WEB-LOGIN-008,LIVE_LOCAL_SUT,Pass,Reached /register; SPA marker preserved.,T3-CHROME-WINDOWS-005,evidence/chrome-windows/005-web-login-register-navigation.png,2026-08-02T12:53:36.628Z
N/A_TECHNICAL_TEST,chrome-windows,Google Chrome / Windows,YES,GUI-WEB-LOGIN-010,LIVE_LOCAL_SUT,Fail,Three wrong attempts returned HTTP 401/401/403; UI still says 'Đăng nhập thất bại. Vui lòng kiểm tra lại.'.,T3-CHROME-WINDOWS-006,evidence/chrome-windows/006-web-login-lockout-feedback.png,2026-08-02T12:53:37.744Z
N/A_TECHNICAL_TEST,chrome-windows,Google Chrome / Windows,YES,GUI-WEB-LOGIN-012,LIVE_LOCAL_SUT,Pass,"viewport=320, document scrollWidth=320, form right=271.0.",T3-CHROME-WINDOWS-008,evidence/chrome-windows/008-web-login-responsive-320.png,2026-08-02T12:53:39.294Z
N/A_TECHNICAL_TEST,chrome-windows,Google Chrome / Windows,YES,GUI-WEB-LOGIN-013,LIVE_LOCAL_SUT,Fail,Whitespace remained significant; login failed with 'Đăng nhập thất bại. Vui lòng kiểm tra lại.'.,T3-CHROME-WINDOWS-009,evidence/chrome-windows/009-web-login-trim.png,2026-08-02T12:53:40.933Z
N/A_TECHNICAL_TEST,chrome-windows,Google Chrome / Windows,YES,GUI-WEB-REGISTER-001,LIVE_LOCAL_SUT,Pass,Heading is 'Đăng Ký Tài Khoản'.,T3-CHROME-WINDOWS-010,evidence/chrome-windows/010-web-register-baseline.png,2026-08-02T12:53:41.860Z
N/A_TECHNICAL_TEST,chrome-windows,Google Chrome / Windows,YES,GUI-WEB-REGISTER-002,LIVE_LOCAL_SUT,Pass,Email input type is 'email'.,T3-CHROME-WINDOWS-010,evidence/chrome-windows/010-web-register-baseline.png,2026-08-02T12:53:41.860Z
N/A_TECHNICAL_TEST,chrome-windows,Google Chrome / Windows,YES,GUI-WEB-REGISTER-003,LIVE_LOCAL_SUT,Pass,"Password helper text is 'Tối thiểu 8 ký tự, có chữ hoa, chữ thường, số và một ký tự trong @$!%*?&.'.",T3-CHROME-WINDOWS-010,evidence/chrome-windows/010-web-register-baseline.png,2026-08-02T12:53:41.860Z
N/A_TECHNICAL_TEST,chrome-windows,Google Chrome / Windows,YES,GUI-WEB-REGISTER-008,LIVE_LOCAL_SUT,Pass,"Register button 'Đăng Ký' computed background rgb(37, 99, 235).",T3-CHROME-WINDOWS-010,evidence/chrome-windows/010-web-register-baseline.png,2026-08-02T12:53:41.860Z
N/A_TECHNICAL_TEST,chrome-windows,Google Chrome / Windows,YES,GUI-WEB-REGISTER-004,LIVE_LOCAL_SUT,Pass,Password123! produced HTTP 200 and final route http://localhost:5173/login.,T3-CHROME-WINDOWS-011,evidence/chrome-windows/011-web-register-special-character.png,2026-08-02T12:53:42.876Z
N/A_TECHNICAL_TEST,chrome-windows,Google Chrome / Windows,YES,GUI-WEB-REGISTER-005,LIVE_LOCAL_SUT,Pass,"Weak-password feedback shown: 'Mật khẩu phải có tối thiểu 8 ký tự, gồm chữ hoa, chữ thường, số và một ký tự đặc biệt trong @$!%*?&.'.",T3-CHROME-WINDOWS-012,evidence/chrome-windows/012-web-register-weak-feedback.png,2026-08-02T12:53:43.850Z
N/A_TECHNICAL_TEST,chrome-windows,Google Chrome / Windows,YES,GUI-WEB-REGISTER-006,LIVE_LOCAL_SUT,Fail,Second registration for the same email returned HTTP 200 and navigated as success.,T3-CHROME-WINDOWS-013,evidence/chrome-windows/013-web-register-duplicate.png,2026-08-02T12:53:44.845Z
N/A_TECHNICAL_TEST,chrome-windows,Google Chrome / Windows,YES,GUI-WEB-REGISTER-007,LIVE_LOCAL_SUT,Pass,Reached /login; SPA marker preserved.,T3-CHROME-WINDOWS-014,evidence/chrome-windows/014-web-register-login-navigation.png,2026-08-02T12:53:45.726Z
N/A_TECHNICAL_TEST,chrome-windows,Google Chrome / Windows,YES,GUI-WEB-REGISTER-009,LIVE_LOCAL_SUT,Pass,Empty name validity=false; message='Please fill out this field.'.,T3-CHROME-WINDOWS-015,evidence/chrome-windows/015-web-register-required.png,2026-08-02T12:53:46.816Z
