Finding ID,Severity,Category,Requirement ID,Artifact,Item/Bug ID,Description,Evidence,Status,Required Fix
AUD-011,High,Item Critique,R-11; R-26,task1-gui/AI_Item_Level_Critique.md,All HUMAN_ADDED items,No per-human-item What AI missed / Why missed / Risk / How improved rationale exists; claimed removals do not match final IDs,AI_Item_Level_Critique.md:13-72; raw/final ID comparison,Open,Add the four required rationale fields and an explicit old-to-final ID mapping
AUD-012,High,Live Flow Integrity,R-12; R-36; R-37,task1-gui/scripts/run-gui-execution.js,Five main flows,The helper does not demonstrate successful Web Login/Register or Category CRUD or Mobile Login and does not distinguish execution modes,run-gui-execution.js:22-140; GUI_Checklist_HW3.md:7,Open,Execute every main integration flow live and label all non-live states
AUD-013,High,Validator,R-34,task1-gui/scripts/validate-gui.ps1,Validator,Validator checks only fixed file/image existence and line count; it omits semantic gates and returns exit code 0 while reporting INCOMPLETE,validate-gui.ps1:13-85; audited command exit code 0,Open,Implement all required checks and exit nonzero when incomplete
AUD-014,High,Demo/Completion,R-31; R-40,task1-gui/README.md,Demo video,No demo video link or video artifact exists so end-to-end use and ownership cannot be verified,README.md:1-42; workspace video search returned none,Open,Record and upload and link the student's Task 1 demo
AUD-015,High,Expected Result Quality,R-39,task1-gui/GUI_Checklist_HW3.md,LOGIN-010/013; REGISTER-006/008/012; CATEGORY-008/011,Seven items have unsupported or contradictory or subjective or source-incompatible Expected Results; one additional item is an imaginary Edit requirement,GUI_Checklist item rows; README.md:41-42/186-189; backend/server.js:249-276; backend/database.js:23-26/63-71,Open,Rewrite or remove all eight excluded items
AUD-016,Medium,Coverage Metrics,R-04; R-05; R-06; R-07; R-25,task1-gui/GUI_Coverage_Matrix.md,IA totals,Coverage summary says 14/21/9/14; cross total says 11/20/10/17; checklist recalculation is 11/20/9/18,GUI_Coverage_Matrix.md:12-18/24-30; checklist rows,Open,Recalculate all IA values from checklist data
AUD-017,Medium,Excel Consistency,R-24; R-25,task1-gui/GUI_Checklist_HW3.xlsx,Coverage / AI Human Review sheets,Primary Checklist rows exactly match Markdown but visible auxiliary sheets contain false IA/origin/removal metrics,Coverage!5:10; AI Human Review!2:8; Checklist!2:59,Open,Regenerate auxiliary sheets from the Checklist sheet
AUD-018,Medium,AI Audit Report,R-28,task1-gui/AI_Audit_Report_Task1.md,Report,Report lacks exact time and full prompt and explicit verdict and complete reasoning/history; several fix claims conflict with final data,AI_Audit_Report_Task1.md:3-18,Open,Add the full auditable interaction record and reconcile every claimed fix
AUD-019,Medium,AI Critique,R-27,task1-gui/AI_Critique_Task1.md,Critique,Body is 276 whitespace-delimited words not declared 265 and claims removals/additions/Edit requirement that final data and requirements contradict,AI_Critique_Task1.md:4-14; raw/final comparison; README.md:186-189,Open,Correct word count and all factual claims
AUD-020,Medium,AI Disclosure,R-29; R-33,task1-gui/AI_Disclosure_Task1.md,Disclosure,Disclosure claims fully reviewed live execution and GitHub traceability although item-level execution and native Mobile and GitHub and Git history are absent,AI_Disclosure_Task1.md:5-7; execution/Git/GitHub evidence,Open,Rewrite disclosure truthfully and quantify unverified/pending work
AUD-021,Medium,Bug Report Quality,R-19,task1-gui/GUI_Bug_Report_HW3.md,BUG-GUI-01..05,Bug packs lack reproducibility and real URL and lifecycle status; several combine unrelated root causes and BUG-GUI-04 omits linked details,GUI_Bug_Report_HW3.md:9-174,Open,Split root causes and add every mandatory field and exact reproduction
AUD-022,Medium,Issue Draft Paths,R-21; R-32,task1-gui/github-issues,BUG-GUI-01..05,Drafts use ../../evidence paths that do not resolve from task1-gui/github-issues and are not GitHub-uploaded attachments,github-issues/BUG-GUI-01.md:29-30 and analogous files,Open,Use correct repository-relative links locally and upload actual GitHub attachments
AUD-023,Medium,IA-03 Coverage,R-06,task1-gui/GUI_Checklist_HW3.md,IA-03 items,Nine IA-03 rows cover only four screens and mostly link/button destinations; Category and Back/Forward and deep-link and focus flows are missing,IA count and item list from GUI_Checklist_HW3.md:13-70,Open,Add substantive navigation behavior for all relevant screens
AUD-024,Medium,IA Depth,R-04; R-05; R-07,task1-gui/GUI_Checklist_HW3.md,IA-01 / IA-02 / IA-04,Counts exist but coverage lacks required form/accessibility/state behaviors and has no trustworthy dynamic execution,GUI_Checklist_HW3.md:13-70; source/requirement comparison,Open,Add missing measurable cases and execute them with mode-specific evidence
AUD-025,Medium,Actual Result Quality,R-12; R-39,task1-gui/GUI_Checklist_HW3.md,LOGIN-013; REGISTER-011; CATEGORY-008/011; MOBILE-010/011,Stored Actual/Status values are contradictory or indeterminate or source-incompatible or based only on source inspection,GUI_Checklist_HW3.md:25/36/54/57/69-70; App.jsx:26-28; backend schema/API,Open,Replace each with a single observed result from a real run
AUD-026,Medium,Process Timeline,R-09; R-30; R-33,task1-gui,Artifact metadata,Raw and critique and screenshots and generator and nearly all reports were produced within about five minutes; most reports share timestamp 00:54:25,Filesystem CreationTime/LastWriteTime audit,Open,Provide authentic chronological Git/process evidence; human review required
AUD-027,Medium,README Completeness,R-31; R-40,task1-gui/README.md,README,README contains student identity and a tree only; it lacks scope and environment and counts and issue links and demo and final status and opening instructions,README.md:1-42,Open,Add all mandatory summary and usage sections without overstating completion
