STT,IA nhóm,Màn hình liên quan,Mô tả tiêu chí kiểm tra,Kết quả mong đợi (Expected),Status,Notes
GUI-026,IA-02 Forms,Product Management Admin Web,"Kiểm tra lựa chọn Danh mục sản phẩm trong dropdown","Danh mục sản phẩm bắt buộc chọn từ danh sách có sẵn, không cho nhập tự do category_id không tồn tại.",Pass,
GUI-027,IA-02 Forms,Product Management Admin Web,"Kiểm tra điền dữ liệu khi Sửa và hành vi nút Hủy sửa","Khi bấm Sửa một sản phẩm, form được điền đúng dữ liệu của sản phẩm đó và nút Hủy sửa đưa form về trạng thái thêm mới.",Pass,
GUI-028,IA-02 Forms,Product Management Admin Web,"Kiểm tra xem trước và validation URL ảnh","Trường URL ảnh có thông báo lỗi hoặc preview/fallback rõ ràng khi URL không hợp lệ.",Fail,"Không có xem trước ảnh (preview) hoặc thông báo lỗi định dạng URL ảnh trong form."
GUI-029,IA-02 Forms,Product Management Admin Web,"Kiểm tra giới hạn định dạng file khi Import CSV","Import CSV chỉ cho phép chọn file .csv và thông báo lỗi rõ ràng nếu chọn sai định dạng.",Fail,"Input chọn file CSV không có thuộc tính accept="".csv"" và không kiểm tra đuôi file trước khi tải lên."
GUI-030,IA-02 Forms,Product Management Admin Web,"Kiểm tra phân tích và xem trước nội dung file CSV","Preview CSV hiển thị đúng header name,price,description,imageUrl,category_id và không làm vỡ bảng khi trường mô tả chứa dấu phẩy trong dấu nháy kép.",Fail,"Mã phân tích CSV sử dụng split("","") đơn giản, làm vỡ cột khi trường mô tả có chứa dấu phẩy trong dấu ngoặc kép."
GUI-031,IA-02 Forms,Product Detail Mobile,"Kiểm tra loại bàn phím và xử lý ô số lượng trên Mobile","Ô số lượng mobile dùng keyboardType numeric và vẫn xử lý đúng khi người dùng nhập rỗng, 0, số âm hoặc ký tự lạ.",Pass,
GUI-032,IA-02 Forms,Product Detail Mobile,"Kiểm tra kích thước vùng chạm (touch target) trên Mobile","Vùng chạm của ô số lượng và nút Thêm vào giỏ hàng đủ lớn để thao tác bằng ngón tay, không quá sát mép màn hình.",Pass,
GUI-033,IA-03 Navigation,Product Detail Web,"Kiểm tra thanh điều hướng Breadcrumb trên trang Chi tiết sản phẩm","Trang Product Detail có breadcrumb từ Home/Danh sách sản phẩm tới Chi tiết sản phẩm theo FR-23.",Fail,"Trang chi tiết sản phẩm không có breadcrumb điều hướng."
GUI-034,IA-03 Navigation,Product Detail Web,"Kiểm tra tải trực tiếp qua URL/Deep link sản phẩm","Reload trực tiếp URL /product/:id hoặc mở deep link vẫn hiển thị đúng sản phẩm hoặc trạng thái không tồn tại thân thiện.",Pass,
GUI-035,IA-03 Navigation,Product Detail Web,"Kiểm tra cập nhật badge số lượng giỏ hàng trên Navbar","Sau khi thêm sản phẩm vào giỏ, link Giỏ hàng trên navbar cập nhật badge số lượng theo FR-23.",Pass,
GUI-036,IA-03 Navigation,Product Detail Web,"Kiểm tra hành vi nút Quay lại (Back) của trình duyệt","Nút Back của trình duyệt đưa người dùng về danh sách/tìm kiếm trước đó mà không mất hoàn toàn ngữ cảnh không cần thiết.",Pass,
GUI-037,IA-03 Navigation,Cart Web,"Kiểm tra breadcrumb và highlight menu trên trang Giỏ hàng","Trang Cart có breadcrumb theo FR-23 và highlight đúng mục Giỏ hàng trên navbar.",Fail,"Trang Giỏ hàng không có breadcrumb điều hướng."
GUI-038,IA-03 Navigation,Cart Web,"Kiểm tra liên kết nút Tiếp tục mua sắm","Nút Tiếp tục mua sắm/Mua tiếp đưa người dùng về trang chủ hoặc danh sách sản phẩm theo FR-07.",Pass,
GUI-039,IA-03 Navigation,Cart Web,"Kiểm tra điều hướng Đăng nhập khi bấm Tiến hành thanh toán","Khi người dùng chưa đăng nhập bấm Tiến hành thanh toán, UI điều hướng đến đăng nhập và thông báo lý do rõ ràng.",Pass,
GUI-040,IA-03 Navigation,Product Management Admin Web,"Kiểm tra highlight tab Sản phẩm trên Sidebar Admin","Sidebar Admin highlight đúng tab Sản phẩm khi đang ở màn hình Quản lý Sản phẩm.",Pass,
GUI-041,IA-03 Navigation,Product Management Admin Web,"Kiểm tra phân quyền truy cập màn hình Admin","Tài khoản không phải admin không thể truy cập màn hình Product Management; UI chuyển về login hoặc hiển thị thông báo không có quyền.",Pass,
GUI-042,IA-03 Navigation,Product Management Admin Web,"Kiểm tra chức năng và điều hướng khi Đăng xuất Admin","Nút Đăng xuất trong Admin có đúng nhãn Đăng xuất, xóa token và đưa người dùng về màn hình login.",Pass,
GUI-043,IA-03 Navigation,Product Detail Mobile,"Kiểm tra nút Home và badge giỏ hàng trên Header mobile","Header mobile luôn có đường quay về Home và link Giỏ có badge số lượng hiện tại.",Pass,
GUI-044,IA-03 Navigation,Product Detail Mobile,"Kiểm tra khả năng quay lại danh sách sản phẩm từ Mobile","Từ Product Detail mobile, người dùng có thể quay lại danh sách sản phẩm mà không bị kẹt trong màn hình chi tiết.",Pass,
GUI-045,IA-04 Feedback / state,Product Detail Web,"Kiểm tra trạng thái đang tải (Loading state)","Khi đang tải sản phẩm, màn hình hiển thị trạng thái Đang tải hoặc skeleton dễ nhận biết.",Pass,
GUI-046,IA-04 Feedback / state,Product Detail Web,"Kiểm tra hiển thị trạng thái lỗi khi sản phẩm không tồn tại","Nếu product id không tồn tại hoặc API lỗi, UI hiển thị empty/error state thân thiện, không lộ text debug như Lỗi trắng trang do data rỗng.",Fail,"Khi sản phẩm không tồn tại, UI hiển thị text thô chứa thông tin debug ""(Lỗi trắng trang do data rỗng)""."
GUI-047,IA-04 Feedback / state,Product Detail Web,"Kiểm tra phản hồi tức thì khi bấm Thêm vào giỏ hàng","Sau khi bấm Thêm vào giỏ hàng, phải có phản hồi ngay lần bấm đầu tiên bằng toast, đổi trạng thái nút hoặc badge cập nhật theo FR-06/FR-24.",Fail,"Cần bấm nút ""Thêm vào giỏ hàng"" 2 lần ở lần thêm đầu tiên mới có tác dụng do lỗi biến clickCount."
GUI-048,IA-04 Feedback / state,Product Detail Web,"Kiểm tra phản hồi và xử lý khi thêm số lượng không hợp lệ vào giỏ","Khi nhập số lượng không hợp lệ và bấm Thêm vào giỏ, UI không thêm sản phẩm âm/NaN và thông báo lỗi cụ thể.",Fail,"Khi số lượng không hợp lệ, UI vẫn gửi đi và thêm sản phẩm với số lượng âm/NaN vào giỏ, gây lỗi hiển thị tổng tiền."
GUI-049,IA-04 Feedback / state,Cart Web,"Kiểm tra giao diện trạng thái Giỏ hàng trống","Giỏ hàng trống hiển thị icon/hình minh họa và thông báo thân thiện theo FR-07/FR-24.",Fail,"Khi giỏ hàng trống, trang chỉ hiển thị chữ thô, không có hình minh họa hoặc icon thân thiện."
GUI-050,IA-04 Feedback / state,Cart Web,"Kiểm tra hộp thoại xác nhận khi xóa sản phẩm khỏi giỏ hàng","Khi xóa sản phẩm khỏi giỏ, phải có dialog xác nhận trước khi xóa theo FR-07/FR-24.",Fail,"Không có hộp thoại xác nhận (dialog) khi bấm nút Xóa sản phẩm khỏi giỏ hàng."
GUI-051,IA-04 Feedback / state,Cart Web,"Kiểm tra cập nhật dữ liệu tức thì sau khi xóa sản phẩm","Sau khi xóa sản phẩm, tổng tiền, số lượng badge và danh sách giỏ cập nhật tức thì, không cần reload.",Pass,
GUI-052,IA-04 Feedback / state,Product Management Admin Web,"Kiểm tra thông báo và dữ liệu cập nhật sau khi sửa sản phẩm Admin","Khi lưu sản phẩm thành công, UI hiển thị thông báo thành công và danh sách chỉ cập nhật sản phẩm vừa sửa, không làm thay đổi sản phẩm khác.",Fail,"Khi sửa sản phẩm thành công, giao diện quản lý admin cập nhật đè tên của tất cả sản phẩm khác thành tên sản phẩm vừa sửa."
GUI-053,IA-04 Feedback / state,Product Management Admin Web,"Kiểm tra hộp thoại xác nhận trước khi xóa sản phẩm trong Admin","Khi xóa sản phẩm, UI yêu cầu xác nhận vì đây là thao tác phá hủy dữ liệu.",Fail,"Không có hộp thoại xác nhận khi bấm Xóa sản phẩm ở trang admin."
GUI-054,IA-04 Feedback / state,Product Management Admin Web,"Kiểm tra trạng thái tiến trình và kết quả Import CSV","Khi import CSV, UI hiển thị trạng thái đang import, disable nút import và sau đó báo số dòng thành công/lỗi rõ ràng theo FR-16.",Pass,
GUI-055,IA-04 Feedback / state,Product Detail Mobile,"Kiểm tra thông báo và badge khi thêm sản phẩm vào giỏ trên Mobile","Khi thêm vào giỏ trên mobile, Alert/toast xuất hiện ngay và badge Giỏ cập nhật đúng số lượng.",Pass,
GUI-056,IA-04 Feedback / state,Product Detail Mobile,"Kiểm tra giao diện báo lỗi kết nối/API trên Mobile","Khi mất kết nối hoặc API product detail lỗi trên mobile, màn hình hiển thị lỗi thân thiện và có đường quay lại Home/Danh sách.",Fail,"Khi API chi tiết sản phẩm mobile lỗi, màn hình hiển thị lỗi thô ""(Lỗi trắng trang do data rỗng)"" và không có nút Thử lại."
GUI-057,IA-01 General UI standards,All selected screens,"Kiểm tra hiển thị bảng mã/font chữ tiếng Việt có dấu (Encoding)","Tất cả chữ tiếng Việt có dấu hiển thị đúng encoding, không xuất hiện ký tự mojibake như Giá»  hoặc Ä ang.",Pass,
GUI-058,IA-01 General UI standards,All selected screens,"Kiểm tra độ tương phản (contrast) giữa chữ và màu nền","Kiểm tra contrast giữa chữ và nền cho giá đỏ, nút xanh, nút đỏ, sidebar admin và text phụ đạt mức dễ đọc trên desktop/mobile.",Pass,
GUI-059,IA-02 Forms,All selected screens,"Kiểm tra thuộc tính hỗ trợ screen reader (aria-label/accessibilityLabel)","Mọi trường nhập có tên truy cập được cho screen reader: label/aria-label trên web và accessibilityLabel phù hợp trên mobile.",Pass,
GUI-060,IA-03 Navigation,All selected screens,"Kiểm tra khả năng tương tác điều hướng bằng bàn phím","Toàn bộ thao tác chính trên web có thể thực hiện bằng bàn phím: Tab tới được control, Enter/Space kích hoạt được nút/link, focus visible rõ ràng.",Pass,
GUI-061,IA-01 General UI standards,All selected screens,"Kiểm tra khả năng co giãn layout với văn bản dài","Văn bản dài như tên sản phẩm, mô tả, lỗi import CSV và địa chỉ URL ảnh không làm tràn layout khi chuyển ngôn ngữ hoặc dữ liệu dài bất thường.",Pass,
